iter	Passed	Remaining
400	15592	3849
401	15630	3810
402	15669	3771
403	15709	3733
404	15751	3694
405	15799	3658
406	15848	3621
407	15896	3584
408	15936	3545
409	15998	3511
410	16039	3473
411	16104	3439
412	16146	3401
413	16182	3361
414	16213	3320
415	16241	3279
416	16265	3237
417	16341	3205
418	16374	3165
419	16399	3123
420	16429	3082
421	16459	3042
422	16486	3001
423	16513	2960
424	16593	2928
425	16657	2893
426	16695	2854
427	16728	2814
428	16761	2774
429	16790	2733
430	16818	2692
431	16850	2652
432	16880	2611
433	16911	2571
434	16939	2531
435	16965	2490
436	16995	2450
437	17024	2409
438	17055	2369
439	17080	2329
440	17108	2288
441	17146	2249
442	17214	2214
443	17268	2177
444	17303	2138
445	17333	2098
446	17368	2059
447	17396	2019
448	17462	1983
449	17525	1947
450	17560	1907
451	17592	1868
452	17623	1828
453	17653	1788
454	17680	1748
455	17707	1708
456	17740	1669
457	17770	1629
458	17801	1590
459	17826	1550
460	17857	1510
461	17887	1471
462	17916	1431
463	17963	1393
464	17996	1354
465	18033	1315
466	18068	1276
467	18102	1237
468	18151	1199
469	18190	1161
470	18227	1122
471	18259	1083
472	18293	1044
473	18331	1005
474	18361	966
475	18458	930
476	18518	892
477	18580	855
478	18618	816
479	18658	777
480	18708	739
481	18783	701
482	18816	662
483	18848	623
484	18874	583
485	18902	544
486	18928	505
487	18961	466
488	18988	427
489	19017	388
490	19050	349
491	19074	310
492	19106	271
493	19144	232
494	19179	193
495	19212	154
496	19245	116
497	19317	77
498	19363	38
499	19388	0
