iter	RMSE
349	1430.749077
350	1430.148181
351	1429.172177
352	1428.112712
353	1427.098681
354	1425.971413
355	1424.150005
356	1423.591663
357	1422.43426
358	1421.944403
359	1418.988868
360	1416.659217
361	1415.658266
362	1413.115719
363	1412.384076
364	1409.919489
365	1409.215825
366	1407.785865
367	1407.443549
368	1399.862626
369	1399.366844
370	1398.556721
371	1397.218365
372	1395.096596
373	1394.726459
374	1393.002773
375	1391.709682
376	1389.919685
377	1388.080496
378	1386.866627
379	1385.198377
380	1383.936689
381	1383.25337
382	1381.882285
383	1381.18657
384	1380.325014
385	1380.066539
386	1379.215558
387	1377.866489
388	1376.962203
389	1376.157894
390	1374.139887
391	1373.102221
392	1372.443264
393	1366.14004
394	1364.790323
395	1363.185709
396	1361.209941
397	1358.976112
398	1358.611219
399	1357.891575
400	1355.732675
401	1355.359114
402	1353.643926
403	1352.369766
404	1351.653846
405	1351.332033
406	1349.602092
407	1347.443197
408	1346.079485
409	1345.273354
410	1343.972005
411	1342.645839
412	1341.981586
413	1341.763861
414	1340.408445
415	1339.915608
416	1338.197889
417	1336.043408
418	1335.244936
419	1334.815472
420	1332.839077
421	1332.015988
422	1331.764503
423	1328.973133
424	1327.844301
425	1326.914901
426	1326.201627
427	1323.310323
428	1321.585478
429	1319.37914
430	1317.759704
431	1316.473466
432	1316.032446
433	1314.719009
434	1313.774296
435	1312.411839
436	1311.652761
437	1311.183474
438	1308.863849
439	1308.293585
440	1306.424236
441	1304.239203
442	1303.414704
443	1302.070197
444	1300.810651
445	1300.18878
446	1299.462538
447	1298.571824
448	1297.526611
449	1297.22241
450	1296.842554
451	1295.823477
452	1294.825386
453	1292.889246
454	1292.126915
455	1290.723521
456	1289.713429
457	1284.98856
458	1284.373716
459	1283.60319
460	1282.843378
461	1280.523561
462	1278.457633
463	1277.608968
464	1275.557602
465	1274.577956
466	1273.761592
467	1272.544012
468	1272.131329
469	1271.276761
470	1270.948892
471	1269.257293
472	1268.938451
473	1266.900452
474	1266.258263
475	1265.524724
476	1264.945874
477	1262.87992
478	1260.601431
479	1259.511957
480	1258.545268
481	1257.446104
482	1255.605886
483	1254.268743
484	1251.921467
485	1250.813019
486	1249.676362
487	1248.929387
488	1248.347715
489	1247.49802
490	1246.904474
491	1245.294185
492	1244.251559
493	1243.337192
494	1242.915648
495	1242.517848
496	1238.998194
497	1238.084714
498	1237.475039
499	1237.382036
